"Cell_ID","Latitude","Longitude","Solar_Radiation","Percent_of_Max"
348,5,55,22613.98,96.82
283,-15,125,22189.91,95.01
282,-15,115,22184.38,94.98
415,25,5,21972.39,94.08
248,-25,135,21781.8,93.26
247,-25,125,21740.44,93.08
417,25,25,21706.14,92.94
246,-25,115,21680.35,92.82
380,15,15,21652.54,92.71
284,-15,135,21623.06,92.58
416,25,15,21605.42,92.5
414,25,-5,21377.79,91.53
347,5,45,21166.85,90.63
384,15,55,21156.43,90.58
381,15,25,21097.67,90.33
236,-25,15,21059.55,90.17
418,25,35,20912.58,89.54
382,15,35,20881.79,89.41
383,15,45,20841.53,89.23
378,15,-5,20837.69,89.22
237,-25,25,20830.6,89.19
312,-5,55,20798.82,89.05
286,-15,155,20774.41,88.95
379,15,5,20764.78,88.9
249,-25,145,20636.71,88.36
285,-15,145,20564.95,88.05
377,15,-15,20457.78,87.59
413,25,-15,20443.54,87.53
420,25,55,20307.39,86.95
395,15,165,20282.45,86.84
376,15,-25,20159.63,86.31
386,15,75,20050.84,85.85
227,-25,-75,19802.54,84.79
351,5,85,19789.35,84.73
387,15,85,19777.36,84.68
275,-15,45,19752.41,84.57
350,5,75,19746.53,84.55
422,25,75,19742.19,84.53
396,15,175,19713.58,84.4
421,25,65,19674.81,84.24
373,15,-55,19668.75,84.21
200,-35,15,19661.05,84.18
407,25,-75,19621.2,84.01
359,5,165,19596.64,83.9
276,-15,55,19565.78,83.77
419,25,45,19565.33,83.77
314,-5,75,19442.89,83.25
370,15,-85,19424.57,83.17
323,-5,165,19410.86,83.11
239,-25,45,19391.17,83.02
212,-35,135,19383.21,82.99
322,-5,155,19355.04,82.87
280,-15,95,19347.69,82.84
210,-35,115,19314.27,82.69
211,-35,125,19293.21,82.6
311,-5,45,19215.26,82.27
372,15,-65,19065.99,81.63
360,5,175,19061.64,81.61
201,-35,25,19028.94,81.47
334,5,-85,18898.26,80.91
451,35,5,18864.55,80.77
403,25,-115,18842.85,80.68
277,-15,65,18836.75,80.65
287,-15,165,18768.33,80.36
371,15,-75,18753.69,80.29
251,-25,165,18721.7,80.16
439,35,-115,18695.2,80.04
346,5,35,18684.49,80
289,-5,-175,18647.23,79.84
398,25,-165,18626.55,79.75
367,15,-115,18615.14,79.7
250,-25,155,18600.61,79.64
362,15,-165,18581.54,79.56
240,-25,55,18544.47,79.4
399,25,-155,18499.04,79.2
358,5,155,18462.77,79.05
389,15,105,18432.5,78.92
430,25,155,18427.67,78.9
452,35,15,18371.39,78.66
319,-5,125,18365.99,78.63
291,-5,-155,18306.47,78.38
273,-15,25,18303.87,78.37
324,-5,175,18261.92,78.19
228,-25,-65,18246.52,78.12
368,15,-105,18239.25,78.09
281,-15,105,18236.06,78.08
423,25,85,18235.58,78.08
388,15,95,18206.16,77.95
440,35,-105,18162.52,77.76
303,-5,-35,18130.82,77.63
454,35,35,18129.07,77.62
272,-15,15,18116.42,77.57
450,35,-5,18080.59,77.41
238,-25,35,17986.44,77.01
168,-45,55,17949.96,76.85
406,25,-85,17871.26,76.52
363,15,-155,17857.03,76.46
404,25,-105,17853.96,76.44
274,-15,35,17844.59,76.4
327,5,-155,17817.98,76.29
369,15,-95,17758.5,76.03
197,-35,-15,17758.42,76.03
455,35,45,17724.9,75.89
161,-45,-15,17718.25,75.86
162,-45,-5,17664.96,75.63
457,35,65,17622.81,75.45
453,35,25,17617.59,75.43
213,-35,145,17569.71,75.23
393,15,145,17467.11,74.79
232,-25,-25,17452.02,74.72
320,-5,135,17450.74,74.72
337,5,-55,17411.29,74.55
310,-5,35,17387.18,74.44
326,5,-165,17339.89,74.24
456,35,55,17316.72,74.14
214,-35,155,17212.16,73.69
345,5,25,17196.3,73.63
318,-5,115,17179.82,73.56
357,5,145,17105.01,73.24
390,15,115,17101.11,73.22
405,25,-95,17062.92,73.06
267,-15,-35,17062.58,73.05
166,-45,35,17050.11,73
341,5,-15,17047.05,72.99
342,5,-5,17028.96,72.91
325,5,-175,17015.67,72.85
392,15,135,16990.38,72.74
321,-5,145,16987.91,72.73
292,-5,-145,16952.9,72.58
438,35,-125,16950.68,72.57
356,5,135,16884.16,72.29
317,-5,105,16875.68,72.25
252,-25,175,16873.58,72.24
192,-35,-65,16838.21,72.09
352,5,95,16833.02,72.07
338,5,-45,16829.61,72.06
424,25,95,16823.97,72.03
293,-5,-135,16823.87,72.03
290,-5,-165,16820.38,72.02
305,-5,-15,16811.75,71.98
256,-15,-145,16778.09,71.84
355,5,125,16770.36,71.8
257,-15,-135,16731.49,71.64
344,5,15,16724.19,71.61
302,-5,-45,16690.02,71.46
316,-5,95,16654.98,71.31
254,-15,-165,16646.48,71.27
333,5,-95,16598.62,71.07
288,-15,175,16548.2,70.85
353,5,105,16545.79,70.84
354,5,115,16539.81,70.82
336,5,-65,16538.66,70.81
253,-15,-175,16503.14,70.66
266,-15,-45,16495.4,70.63
297,-5,-95,16452.81,70.44
202,-35,35,16412.31,70.27
255,-15,-155,16381.73,70.14
459,35,85,16316.57,69.86
335,5,-75,16307.96,69.82
391,15,125,16279.03,69.7
458,35,75,16206.19,69.39
429,25,145,16179.28,69.27
217,-25,-175,16119.79,69.02
449,35,-15,16080.93,68.85
460,35,95,16073.47,68.82
263,-15,-75,16061.1,68.77
193,-35,-55,15997.58,68.49
229,-25,-55,15898.37,68.07
191,-35,-75,15894.86,68.05
343,5,5,15833.9,67.79
441,35,-95,15813.88,67.71
222,-25,-125,15808.14,67.68
219,-25,-155,15679.36,67.13
221,-25,-135,15642.03,66.97
493,45,65,15578.83,66.7
309,-5,25,15519.37,66.45
428,25,135,15514.88,66.43
265,-15,-55,15366.56,65.79
496,45,95,15352.54,65.73
264,-15,-65,15258.98,65.33
462,35,115,15245.26,65.27
497,45,105,15207.8,65.11
224,-25,-105,15146.33,64.85
442,35,-85,15119.35,64.73
498,45,115,15070,64.52
301,-5,-55,14969.11,64.09
397,25,-175,14943.04,63.98
495,45,85,14917.87,63.87
427,25,125,14910.74,63.84
444,35,-65,14812.4,63.42
181,-35,-175,14803.33,63.38
216,-35,175,14745.8,63.13
475,45,-115,14732.36,63.08
494,45,75,14657.18,62.76
443,35,-75,14645.85,62.71
230,-25,-45,14606.7,62.54
448,35,-25,14567.31,62.37
476,45,-105,14503.8,62.1
220,-25,-145,14437.02,61.81
461,35,105,14425.07,61.76
206,-35,75,14359.86,61.48
298,-5,-85,14326.79,61.34
426,25,115,14297.99,61.22
463,35,125,14265.66,61.08
492,45,55,14241.25,60.97
308,-5,15,14202.22,60.81
177,-45,145,14121.9,60.46
425,25,105,14057.61,60.19
300,-5,-65,14011.42,59.99
499,45,125,13965.93,59.8
180,-45,175,13921.01,59.6
486,45,-5,13808.1,59.12
156,-45,-65,13790.48,59.04
299,-5,-75,13676.47,58.56
127,-54.9,5,13619.04,58.31
30,-83.4,115,13520.49,57.89
32,-83.4,135,13518.93,57.88
31,-83.4,125,13514.5,57.86
67,-74.5,125,13506.24,57.83
33,-83.4,145,13504.53,57.82
