"Cell_ID","Latitude","Longitude","Precipitation","Percent_of_Max"
460,35,95,4103.29,65.64
459,35,85,3975.6,63.6
64,-74.5,95,3474.8,55.59
26,-83.4,75,3465.45,55.44
25,-83.4,65,3437.77,55
27,-83.4,85,3399.16,54.38
24,-83.4,55,3357.09,53.7
28,-83.4,95,3296.51,52.74
23,-83.4,45,3250.83,52
63,-74.5,85,3250.26,52
65,-74.5,105,3216.73,51.46
59,-74.5,45,3202.79,51.24
29,-83.4,105,3178.92,50.85
30,-83.4,115,3062.93,49
60,-74.5,55,3053.8,48.85
66,-74.5,115,3041.31,48.65
22,-83.4,35,3036.8,48.58
67,-74.5,125,3024.08,48.38
58,-74.5,35,2978.67,47.65
31,-83.4,125,2934.04,46.94
57,-74.5,25,2871.16,45.93
21,-83.4,25,2811.83,44.98
32,-83.4,135,2796.1,44.73
56,-74.5,15,2762.91,44.2
68,-74.5,135,2752.68,44.04
458,35,75,2694.27,43.1
20,-83.4,15,2673.89,42.78
33,-83.4,145,2656.25,42.49
36,-83.4,175,2585.65,41.36
19,-83.4,5,2562.05,40.99
1,-83.4,-175,2542.69,40.68
62,-74.5,75,2522.53,40.35
55,-74.5,5,2495.68,39.92
591,74.5,-35,2494.88,39.91
590,74.5,-45,2457.31,39.31
34,-83.4,155,2417.29,38.67
18,-83.4,-5,2404.51,38.47
69,-74.5,145,2387.9,38.2
35,-83.4,165,2384.26,38.14
8,-83.4,-105,2306.8,36.9
263,-15,-75,2306.23,36.89
61,-74.5,65,2251.91,36.02
17,-83.4,-15,2225.8,35.61
9,-83.4,-95,2220.93,35.53
555,64.8,-35,2056.32,32.9
70,-74.5,155,2051.59,32.82
7,-83.4,-115,2045.62,32.72
54,-74.5,-5,2013.64,32.21
16,-83.4,-25,1987.93,31.8
461,35,105,1968.71,31.49
2,-83.4,-165,1954.47,31.27
15,-83.4,-35,1847.22,29.55
10,-83.4,-85,1833.26,29.33
100,-64.8,95,1782.24,28.51
554,64.8,-45,1778.66,28.45
104,-64.8,135,1774.93,28.39
13,-83.4,-55,1755.88,28.09
6,-83.4,-125,1744.96,27.91
101,-64.8,105,1739.06,27.82
14,-83.4,-45,1720.05,27.52
228,-25,-65,1665.54,26.64
103,-64.8,125,1619.4,25.91
96,-64.8,55,1608.25,25.73
496,45,95,1599.12,25.58
440,35,-105,1554.01,24.86
42,-74.5,-125,1519.85,24.31
424,25,95,1515.14,24.24
475,45,-115,1498.51,23.97
99,-64.8,85,1495.99,23.93
5,-83.4,-135,1487.21,23.79
11,-83.4,-75,1482.59,23.72
12,-83.4,-65,1470.26,23.52
3,-83.4,-155,1426.37,22.82
589,74.5,-55,1415.92,22.65
404,25,-105,1399.66,22.39
497,45,105,1364.34,21.83
102,-64.8,115,1354.52,21.67
53,-74.5,-15,1343.05,21.49
43,-74.5,-115,1324.91,21.2
495,45,85,1300.38,20.8
95,-64.8,45,1292.31,20.67
4,-83.4,-145,1290.68,20.65
457,35,65,1285.96,20.57
41,-74.5,-135,1285.81,20.57
439,35,-115,1234.57,19.75
44,-74.5,-105,1203.06,19.25
105,-64.8,145,1202.67,19.24
425,25,105,1194.89,19.12
476,45,-105,1190.41,19.04
97,-64.8,65,1185.56,18.97
71,-74.5,165,1184.41,18.95
45,-74.5,-95,1171.53,18.74
237,-25,25,1167.52,18.68
272,-15,15,1161.76,18.59
494,45,75,1132.22,18.11
592,74.5,-25,1131.91,18.11
423,25,85,1118.32,17.89
191,-35,-75,1108.54,17.73
273,-15,25,1107.18,17.71
310,-5,35,1062.03,16.99
264,-15,-65,1057.6,16.92
368,15,-105,1055.76,16.89
510,54.9,-125,1045.29,16.72
46,-74.5,-85,1042.05,16.67
346,5,35,1028.31,16.45
236,-25,15,1025.67,16.41
456,35,55,1013.88,16.22
498,45,115,1012.32,16.19
201,-35,25,1009.95,16.16
48,-74.5,-65,970.92,15.53
534,54.9,115,944.04,15.1
52,-74.5,-25,909.11,14.54
363,15,-155,908.42,14.53
369,15,-95,885.98,14.17
623,83.4,-75,877.35,14.04
455,35,45,873.14,13.97
474,45,-125,826.54,13.22
511,54.9,-115,825.59,13.21
106,-64.8,155,818.23,13.09
454,35,35,811.74,12.99
556,64.8,-25,808.06,12.93
532,54.9,95,805.74,12.89
309,-5,25,796.41,12.74
545,64.8,-135,794.6,12.71
383,15,45,794.23,12.71
98,-64.8,75,792.07,12.67
544,64.8,-145,779.67,12.47
626,83.4,-45,752.58,12.04
382,15,35,746.11,11.94
573,64.8,145,738.56,11.82
533,54.9,105,738.39,11.81
588,74.5,-65,728.95,11.66
625,83.4,-55,727.28,11.63
450,35,-5,726.9,11.63
627,83.4,-35,716.5,11.46
509,54.9,-135,701.95,11.23
559,64.8,5,701.52,11.22
274,-15,35,689.7,11.03
335,5,-75,677.28,10.83
155,-45,-75,654.37,10.47
299,-5,-75,654.27,10.47
535,54.9,125,653.91,10.46
419,25,45,649.16,10.38
40,-74.5,-145,635.29,10.16
84,-64.8,-65,634.72,10.15
421,25,65,634.46,10.15
266,-15,-45,631.2,10.1
230,-25,-45,626.59,10.02
572,64.8,135,620.44,9.93
381,15,25,620.12,9.92
415,25,5,614.33,9.83
416,25,15,609.33,9.75
536,54.9,135,587.38,9.4
345,5,25,582.55,9.32
347,5,45,579.8,9.28
83,-64.8,-75,576.55,9.22
72,-74.5,175,557.73,8.92
546,64.8,-125,552.9,8.84
344,5,15,546.27,8.74
179,-45,165,534.77,8.55
557,64.8,-15,534.35,8.55
568,64.8,95,533.37,8.53
486,45,-5,526.87,8.43
192,-35,-65,525.54,8.41
308,-5,15,523.52,8.37
47,-74.5,-75,521.62,8.34
321,-5,145,521.38,8.34
587,74.5,-75,516.26,8.26
