"Cell_ID","Latitude","Longitude","Vapor_Pressure","Percent_of_Max"
325,5,-175,3.166,97.14
289,-5,-175,3.101,95.15
392,15,135,3.101,95.16
357,5,145,3.1,95.12
324,-5,175,3.079,94.48
360,5,175,3.049,93.55
396,15,175,3.048,93.52
358,5,155,3.032,93.02
356,5,135,3.024,92.79
359,5,165,3.016,92.53
326,5,-165,3.002,92.1
290,-5,-165,2.972,91.19
291,-5,-155,2.966,91.02
327,5,-155,2.941,90.24
314,-5,75,2.915,89.44
395,15,165,2.907,89.2
338,5,-45,2.878,88.31
393,15,145,2.877,88.28
300,-5,-65,2.867,87.98
322,-5,155,2.85,87.45
286,-15,155,2.846,87.31
254,-15,-165,2.833,86.92
323,-5,165,2.833,86.92
353,5,105,2.83,86.84
355,5,125,2.812,86.29
391,15,125,2.812,86.28
307,-5,5,2.811,86.26
312,-5,55,2.776,85.17
350,5,75,2.771,85.02
390,15,115,2.77,85
316,-5,95,2.754,84.5
301,-5,-55,2.732,83.83
318,-5,115,2.722,83.51
317,-5,105,2.714,83.28
373,15,-55,2.711,83.17
337,5,-55,2.694,82.65
354,5,115,2.694,82.65
281,-15,105,2.69,82.55
287,-15,165,2.685,82.39
253,-15,-175,2.678,82.18
319,-5,125,2.675,82.06
351,5,85,2.671,81.96
255,-15,-155,2.67,81.94
352,5,95,2.66,81.6
320,-5,135,2.659,81.57
256,-15,-145,2.652,81.37
336,5,-65,2.644,81.12
257,-15,-135,2.63,80.7
334,5,-85,2.628,80.62
362,15,-165,2.621,80.42
293,-5,-135,2.613,80.17
288,-15,175,2.611,80.1
292,-5,-145,2.603,79.87
311,-5,45,2.589,79.44
341,5,-15,2.532,77.69
372,15,-65,2.53,77.62
280,-15,95,2.52,77.32
388,15,95,2.513,77.1
407,25,-75,2.513,77.1
321,-5,145,2.504,76.84
370,15,-85,2.504,76.84
430,25,155,2.497,76.6
343,5,5,2.484,76.2
389,15,105,2.473,75.87
299,-5,-75,2.456,75.35
342,5,-5,2.454,75.3
302,-5,-45,2.451,75.21
429,25,145,2.451,75.19
333,5,-95,2.445,75.02
221,-25,-135,2.44,74.88
335,5,-75,2.439,74.82
371,15,-75,2.435,74.71
297,-5,-95,2.422,74.32
219,-25,-155,2.421,74.27
276,-15,55,2.39,73.34
308,-5,15,2.387,73.23
217,-25,-175,2.38,73.04
267,-15,-35,2.38,73.03
220,-25,-145,2.37,72.71
387,15,85,2.352,72.18
265,-15,-55,2.321,71.22
367,15,-115,2.316,71.07
303,-5,-35,2.295,70.41
406,25,-85,2.268,69.59
277,-15,65,2.258,69.27
344,5,15,2.252,69.1
222,-25,-125,2.231,68.46
298,-5,-85,2.228,68.35
428,25,135,2.225,68.28
348,5,55,2.22,68.12
305,-5,-15,2.209,67.79
252,-25,175,2.205,67.66
345,5,25,2.197,67.4
309,-5,25,2.178,66.82
275,-15,45,2.171,66.62
232,-25,-25,2.142,65.72
398,25,-165,2.122,65.12
251,-25,165,2.112,64.81
386,15,75,2.109,64.71
282,-15,115,2.107,64.66
376,15,-25,2.056,63.07
347,5,45,2.051,62.95
240,-25,55,2.039,62.57
264,-15,-65,2.028,62.23
369,15,-95,2.027,62.21
266,-15,-45,2.024,62.11
285,-15,145,2.021,62.02
399,25,-155,1.982,60.8
444,35,-65,1.969,60.42
397,25,-175,1.966,60.31
239,-25,45,1.958,60.06
224,-25,-105,1.899,58.27
274,-15,35,1.89,58
427,25,125,1.887,57.9
405,25,-95,1.885,57.84
229,-25,-55,1.861,57.1
310,-5,35,1.858,57.01
346,5,35,1.853,56.86
230,-25,-45,1.839,56.43
284,-15,135,1.835,56.32
368,15,-105,1.809,55.5
238,-25,35,1.805,55.38
423,25,85,1.804,55.36
426,25,115,1.776,54.48
422,25,75,1.749,53.67
283,-15,125,1.718,52.71
363,15,-155,1.717,52.69
181,-35,-175,1.711,52.49
424,25,95,1.68,51.53
202,-35,35,1.679,51.51
377,15,-15,1.671,51.28
403,25,-115,1.638,50.26
425,25,105,1.577,48.39
383,15,45,1.542,47.32
250,-25,155,1.514,46.46
273,-15,25,1.501,46.06
448,35,-25,1.497,45.94
193,-35,-55,1.494,45.85
378,15,-5,1.463,44.89
384,15,55,1.457,44.7
382,15,35,1.43,43.89
