"Cell_ID","Latitude","Longitude","Wind_Speed","Percent_of_Max"
92,-64.8,15,13.98,70.05
96,-64.8,55,13.9,69.66
95,-64.8,45,13.83,69.3
107,-64.8,165,13.77,69.03
100,-64.8,95,12.38,62.03
106,-64.8,155,11.89,59.57
41,-74.5,-135,10.29,51.57
99,-64.8,85,10.24,51.3
142,-54.9,155,10.15,50.85
97,-64.8,65,9.93,49.76
44,-74.5,-105,9.82,49.21
134,-54.9,75,9.7,48.61
45,-74.5,-95,9.64,48.29
101,-64.8,105,9.3,46.6
40,-74.5,-145,9.21,46.18
127,-54.9,5,9.12,45.71
143,-54.9,165,9.08,45.49
72,-74.5,175,9.07,45.44
46,-74.5,-85,9,45.12
105,-64.8,145,8.99,45.08
170,-45,75,8.91,44.67
56,-74.5,15,8.85,44.36
93,-64.8,25,8.79,44.04
169,-45,65,8.63,43.23
43,-74.5,-115,8.61,43.17
64,-74.5,95,8.57,42.97
47,-74.5,-75,8.52,42.69
505,54.9,-175,8.26,41.4
42,-74.5,-125,8.22,41.21
540,54.9,175,8.12,40.68
65,-74.5,105,8.05,40.35
60,-74.5,55,7.82,39.18
124,-54.9,-25,7.73,38.72
166,-45,35,7.73,38.72
119,-54.9,-75,7.72,38.69
39,-74.5,-155,7.68,38.48
168,-45,55,7.67,38.42
53,-74.5,-15,7.64,38.28
558,64.8,-5,7.63,38.23
70,-74.5,155,7.62,38.19
71,-74.5,165,7.62,38.18
7,-83.4,-115,7.59,38.02
98,-64.8,75,7.57,37.95
8,-83.4,-105,7.53,37.72
594,74.5,-5,7.51,37.62
121,-54.9,-55,7.33,36.74
362,15,-165,7.25,36.33
85,-64.8,-55,7.23,36.25
83,-64.8,-75,7.07,35.45
518,54.9,-45,7.05,35.33
502,45,155,7.03,35.24
94,-64.8,35,7,35.07
145,-45,-175,6.98,34.97
9,-83.4,-95,6.96,34.86
162,-45,-5,6.94,34.77
557,64.8,-15,6.83,34.24
120,-54.9,-65,6.77,33.93
104,-64.8,135,6.76,33.87
639,83.4,85,6.65,33.33
63,-74.5,85,6.64,33.26
447,35,-35,6.63,33.22
10,-83.4,-85,6.6,33.08
61,-74.5,65,6.6,33.09
590,74.5,-45,6.59,33.01
638,83.4,75,6.59,33.03
86,-64.8,-45,6.48,32.47
161,-45,-15,6.4,32.08
589,74.5,-55,6.4,32.08
600,74.5,55,6.28,31.46
54,-74.5,-5,6.25,31.34
57,-74.5,25,6.21,31.11
